"filename", "language", "C++", "Dart", "YAML", "Ini", "Properties", "XML", "Markdown", "Gradle", "CMake", "JSON", "CMake Cache", "C", "SVG", "comment", "blank", "total"
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 0, 78, 404
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 18, 73
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 20, 84
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 0, 62, 132, 804
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/CMakeFiles/3.22.1-g37088a8/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 28
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 9, 55
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/armeabi-v7a/prefab_config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/.cmake/api/v1/reply/cache-v2-64c5707ad26983bfec32.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1379, 0, 0, 0, 0, 1, 1380
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/.cmake/api/v1/reply/cmakeFiles-v1-4b3b80ba544b7b8a2540.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 799, 0, 0, 0, 0, 1, 800
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/.cmake/api/v1/reply/codemodel-v2-13e5583752d9571ed92f.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 44
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/.cmake/api/v1/reply/index-2025-03-07T14-45-00-0222.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 1, 93
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 0, 78, 404
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/CMakeFiles/3.22.1-g37088a8/CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 18, 73
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/CMakeFiles/3.22.1-g37088a8/CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 20, 84
"/home/karol/Documents/Repositories/LoRaptor/app/raptchat/android/app/.cxx/Debug/2o321e69/x86/CMakeFiles/3.22.1-g37088a8/CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
